alert_level,tca_time,sat1_name,sat1_catalog,sat2_name,sat2_catalog,distance_km,relative_velocity_km_s,sat1_x,sat1_y,sat1_z,sat2_x,sat2_y,sat2_z,sat1_vx,sat1_vy,sat1_vz,sat2_vx,sat2_vy,sat2_vz
RED,2025-11-23T01:55:55.242353,ISS (ZARYA),25544,FREGAT DEB,45641,9.233309,5.9380,4575.0960,-41.0198,5016.2976,4575.5444,-50.2040,5015.4590,2.264717,7.042137,-2.006086,-2.076620,7.056493,2.045122
YELLOW,2025-11-25T06:07:10.928491,ISS (ZARYA),25544,FLOCK 4Q 33,58308,11.592527,14.7560,-4250.7790,-5297.6291,334.6389,-4260.8339,-5303.1866,333.0896,3.899972,-2.740733,5.993581,-1.009106,0.319620,-7.581227
YELLOW,2025-11-23T01:59:01.365162,ISS (ZARYA),25544,STARLINK-5190,54092,14.018123,8.7775,4893.2010,1260.9856,4535.3491,4884.9782,1256.0670,4525.1168,1.140867,6.897319,-3.143081,-4.484304,5.226229,3.384503
YELLOW,2025-11-24T06:05:55.076003,ISS (ZARYA),25544,ARCSAT-1,52161,15.428933,14.7564,4079.3656,5433.4990,130.6534,4079.2908,5447.8363,136.3531,-3.729102,2.953647,-6.008126,0.681071,-0.708701,7.589227
YELLOW,2025-11-23T15:19:58.823869,ISS (ZARYA),25544,IPERDRONE.0,60520,15.861946,14.7212,-4483.9085,-4931.5561,-1359.2847,-4484.5000,-4946.8074,-1363.6030,2.793963,-4.133145,5.806518,0.272079,1.795508,-7.429964
YELLOW,2025-11-23T02:01:50.988743,ISS (ZARYA),25544,STARLINK-1799,46699,16.617875,10.1653,4996.3221,2400.8215,3922.5336,5004.3271,2412.3866,3931.3837,0.071220,6.501250,-4.060503,-5.148814,3.777569,4.225997
YELLOW,2025-11-25T09:55:50.514092,ISS (ZARYA),25544,STARLINK-1585,46117,18.886595,12.0629,5006.3814,4498.2627,931.3132,5025.1454,4496.1340,931.0253,-2.593926,4.123268,-5.917251,-3.722886,2.901098,6.030397
YELLOW,2025-11-24T02:13:22.048162,ISS (ZARYA),25544,ARCSAT-1,52161,19.090721,14.7547,-4086.9937,-5430.0431,-260.6633,-4101.6697,-5420.6080,-252.9142,3.664520,-3.037104,5.998255,-0.607988,0.805940,-7.591354
YELLOW,2025-11-23T23:15:53.495587,ISS (ZARYA),25544,COSMOS 1408 DEB,50032,19.962141,13.8574,-1654.9277,-6049.7648,2618.8289,-1668.3177,-6061.5005,2627.8549,5.547866,0.756608,5.228027,0.258502,-3.100925,-6.985443
YELLOW,2025-11-24T19:17:39.728291,ISS (ZARYA),25544,PLATERO,58262,21.394575,14.7617,-3853.0285,-5570.1373,607.4539,-3865.4324,-5554.4075,614.9669,4.232523,-2.267106,5.966224,-1.213560,-0.008146,-7.566867
YELLOW,2025-11-23T15:03:36.985052,ISS (ZARYA),25544,STARLINK-4315,53077,23.720281,10.5609,-4234.5030,1065.6451,-5217.6046,-4236.8465,1074.0525,-5239.6608,-3.244584,-6.813940,1.238838,-5.170779,2.944891,4.786628
